url,views,likes,shares,comments_count,hashtags,date_posted
https://www.tiktok.com/@walidsabbagh/video/7469513194105507078,200700,200700,8483,0,,10-02-2025
https://www.tiktok.com/@sol__is/video/7460491909358832904,61800,61800,7289,2069,#عمر_بن_عطية,13-02-2025
https://www.tiktok.com/@hssan_hachani_com/video/7459720268819320069,25200,25200,6983,1058,"#smartphone, #hachanicom",13-02-2025
https://www.tiktok.com/@houssem_lass/video/7467206651859176710,19800,19800,1294,785,,08-02-2025
https://www.tiktok.com/@gooba_off/video/7469376674996571398,359000,359100,179300,7776,"#foryou, #fyp, #viral, #السعودية, #مصر, #مغرب, #الجزائر, #تونس, #ليبيا, #فيفا, #fypシ゚viralLe, #football, #giveaway, , , ",10-02-2025
https://www.tiktok.com/@ahlemfekih1/video/7469054584812506423,33600,33600,208,230,"#ahlemfekih, #sanfara, #المغرب🇲🇦تونس🇹🇳الجزائر🇩🇿, #explore, #شعب_الصيني_ماله_حل😂😂, #fouryou, #couple",09-02-2025
https://www.tiktok.com/@yosramanaii/video/7469448667540426039,33100,33100,160,266,,10-02-2025
https://www.tiktok.com/@mxxyqfx/video/7468776718447168774,38000,38000,448,986,"#لايدي_سامارا, #tiktoklongs, #frypage, #frypage, #algeria, #marroc, #foryoupage❤️❤️, , , , , , , , , ",08-02-2025
https://www.tiktok.com/@nourmar5/video/7469049814953544967,84800,84800,6265,1731,", ",08-02-2025
https://www.tiktok.com/@salem.mr/video/7469780798938303799,21000,21000,1465,516,", , ",08-02-2025
https://www.tiktok.com/@fatmahdidi1/video/7452393267276156166,19700,19700,1887,207,,12-02-2025
https://www.tiktok.com/@trefel111/video/7468740516004384005,32299,32299,5078,144,,08-02-2025
https://www.tiktok.com/@tunis680/video/7459855084164222213,55400,55400,4162,501,"#طقس, #امطاراليوم, #météo, #fyp",10-02-2025
https://www.tiktok.com/@hamza_dhouha_official/video/7467976749020761350,32700,32700,4103,137,", , , , , , ",08-02-2025
https://www.tiktok.com/@ghaithbiaa/video/7440163051585785143,7234,7234,3446,79,,10-02-2025
https://www.tiktok.com/@fanz_anasalshayeb1/video/7469767362477182215,32500,32500,299,233,"#رحمة_العريبي, #دبي, #اكسبلور, #dohalaribi, #انس_الشايب",11-02-2025
https://www.tiktok.com/@meriem.debbagh1/video/7469046186326887685,63300,63300,1971,935,"#foryoupage❤️❤️, #virał, #fbyツ, #foryou, #fyp, #fyp",09-02-2025
https://www.tiktok.com/@voixlibre0/video/7447859358005873925,51900,51900,1320,1805,"#فتحي_الهداوي, #جنازة, #ممثل, #تونس, #تونس🇹🇳, #تونس_المغرب_الجزائر",14-02-2025
https://www.tiktok.com/@yazed.mousa/video/7469458904406068488,601700,601700,101300,10200,,10-02-2025
https://www.tiktok.com/@faizamansour/video/7468369394368859398,104200,104200,3654,4189,,08-02-2025
https://www.tiktok.com/@nourmar5/video/7469421979800505618,134400,134400,8080,2952,"#جلادين, #نورمار",10-02-2025
https://www.tiktok.com/@mohamearouina/video/7449139246008470789,15300,15300,7683,637,,13-02-2025
https://www.tiktok.com/@trkchahineze/video/7460989132240620806,20100,20100,6865,0,,11-02-2025
https://www.tiktok.com/@abu_samir.n1/video/7470222134284012855,22100,22100,1949,1,", , , , ",08-02-2025
https://www.tiktok.com/@ha____mhamdi/video/7444228525894225208,85600,85600,46200,4407,"#تصميم_فيديوهات🎶🎤🎬, #تونس🇹🇳, #الشتاء_في_تونس🇹🇳",14-02-2025
https://www.tiktok.com/@alae.tounsi/video/7453799946261630214,16600,16600,5719,1362,", , , , , , , ",08-02-2025
https://www.tiktok.com/@mo9ded.9ahweji/video/7462094103233170694,20500,20500,383,224,"#شباب, #ضاع, #مساحة",08-02-2025
https://www.tiktok.com/@farawlaayedi/video/7459462710174977285,21500,21500,8119,414,,09-02-2025
https://www.tiktok.com/@saberbrava/video/7459442654183574790,30100,30100,1917,1481,", , , , , , , , ",08-02-2025
https://www.tiktok.com/@dodchadam/video/7468431606110293254,9622,9622,265,74,"#tech, #nfc",08-02-2025
https://www.tiktok.com/@alarabiya/video/7446836166667750673,593900,593900,87500,15600,#العربية,08-02-2025
https://www.tiktok.com/@touskie_oumouma/video/7442847724870831415,25500,25500,13600,343,", , , , ",08-02-2025
https://www.tiktok.com/@kamacho24/video/7469852519859014917,52200,52200,14600,1141,", , ",08-02-2025
https://www.tiktok.com/@7h_hammaaa/video/7468707254020115717,26800,26800,1820,196,"#fypシ゚, #explore, #7h_hamma😂",08-02-2025
https://www.tiktok.com/@majd_daassi_off/video/7469844140985961783,58100,58100,3193,755,#majddaassi,11-02-2025
https://www.tiktok.com/@jihed.and.ameni/video/7440915308623203640,38100,38100,5101,256,,08-02-2025
https://www.tiktok.com/@onssoussi1/video/7459466507714710826,20500,nan,nan,nan,,08-02-2025
https://www.tiktok.com/@hammami77/video/7448356650181872902,22600,22600,9137,1410,,12-02-2025
https://www.tiktok.com/@chakerpato/video/7455350457607752966,12500,12500,899,528,", , , , , , , ",08-02-2025
https://www.tiktok.com/@malek_oueslati_of/video/7468634316625562885,33200,33200,1172,43,,08-02-2025
