User,Date,Content,Hashtags,Mentions,Replies,Retweets,Likes,Views
FayeYoko Babebie Taiwan,2025-02-12T03:32:13.000Z,FayeYoko Babebie Taiwan @FayeYokoGSTW · 20h We're No.1 on Taiwan's trending list too! Everyone Geng Mak!   SHINE ON FAYEYOKO TO 4E #พาฝ้ายโยโกะคืนให้4E GIF 170 1. .,#พาฝ,@FayeYokoGSTW,3000,2,1000,69000
ASHABA,2025-02-12T17:43:34.000Z,ASHABA @sirnghoashaba · 5h Why is she trending??,,@sirnghoashaba,7,2,12,630
Mašianoka,2025-02-11T16:11:22.000Z,Mašianoka @Mashianoka_ · Feb 11 i can see why Sophie Rain is trending now… 646   .,,@Mashianoka_,466,18000,1,7000000
𝐍𝐚𝐯𝐞𝐞𝐧 𝐘𝐒𝐉 𝐕𝐢𝐳𝐚𝐠,2025-02-11T14:18:23.000Z,𝐍𝐚𝐯𝐞𝐞𝐧 𝐘𝐒𝐉 𝐕𝐢𝐳𝐚𝐠 @YSJ2024 · Feb 11 సిద్ధమా - Let's Start Trend!  Retweet & Comment With This Hastag!  #BoycottLaila 34   .,#BoycottLaila,@YSJ2024,359,706,7,5000
G | LOVE fill the BLANK,2025-02-12T01:37:05.000Z,"G | LOVE fill the BLANK @FayeYoko_2024 · 22h Parody account OMG, IN JUST 4 MINS WE'RE TRENDING AT TOP AND 2ND SPOT IN PH! LOOK HOW AMAZING FILO FANS ARE!!! KEEP GOING!   SHINE ON FAYEYOKO TO 4E #พาฝ้ายโยโกะคืนให้4E GIF 254 .",#พาฝ,@FayeYoko_2024,1,3000,2000,88000
Joong Archen Trend,2025-02-12T23:25:24.000Z,"Joong Archen Trend @JoongTrend · 13m 1 million posts completed! Amazing job, everyone!  #TheHeartKillersFinalEP",#TheHeartKillersFinalEP,@JoongTrend,13,112,122,945
𝐍𝐚𝐯𝐞𝐞𝐧 𝐘𝐒𝐉 𝐕𝐢𝐳𝐚𝐠,2025-02-11T14:45:36.000Z,"𝐍𝐚𝐯𝐞𝐞𝐧 𝐘𝐒𝐉 𝐕𝐢𝐳𝐚𝐠 @YSJ2024 · Feb 11 Guys, Rpeat With Me Let's Start This Trend!  Don't Mess With YSRCP Party &  @ysjagan 100 Retweets Possible For This Tweet! #BoycottLaila 25  .",#BoycottLaila,"@YSJ2024, @ysjagan",657,1,6000,18000
FayeYoko_SOUTH AFRICA,2025-02-12T02:06:55.000Z,"FayeYoko_SOUTH AFRICA @fayeyoko_ZA · 21h  Trending Worldwide! Let’s keep the momentum going! Search the tag, join the conversation, and engage. Every comment, like, and share counts. Let’s make noise!   SHINE ON FAYEYOKO TO 4E  #พาฝ้ายโยโกะคืนให้4E 146  .",#พาฝ,@fayeyoko_ZA,859,1,1000,23000
YS Jagan Fans Campaign™,2025-02-11T13:25:39.000Z,YS Jagan Fans Campaign™ @YSJFansCampaign · Feb 11 200K+ Tweets on #BoycottLaila    First Ever Negative Trend in Recent times to create this Record   Never Ever Mess with  @ysjagan  fans ! 61  .,#BoycottLaila,"@YSJFansCampaign, @ysjagan",924,1,9000,25000
FayeYoko_CN_Official,2025-02-11T02:35:31.000Z,"FayeYoko_CN_Official @FayeYoko_CHINA · Feb 11 FayeYoko_cn_official hereby proposes: Before NineStar issues a statement in response to online public opinion Fan clubs around the world temporarily suspend updates No vote,No trend If NineStar really plans to dismantle FayeYoko All of our accounts will be meaningless! Show more FayeYoko's status with NineStar? Consequences for NineStar if split? 393 2. .",,@FayeYoko_CHINA,2000,3,6000,189000
